Nama Provinsi,Kode Provinsi,P di bawah 15 tahun,L di bawah 15 tahun,P 15 - di bawah 45 tahun,L 15 - di bawah 45 tahun,P  di bawah 45 tahun,L  di bawah 45 tahun,P di atas 60 tahun,L di atas 60 tahun,TOTAL
ACEH,11,990,1356,3866,5873,1756,2614,2411,2172,21038
SUMATERA UTARA,12,2223,2980,7312,11092,3210,4755,4528,3921,40021
SUMATERA BARAT,13,1024,1463,3430,4336,1609,1806,2183,1632,17483
RIAU,14,601,839,2196,2997,870,1216,1147,1108,10974
JAMBI,15,498,669,1751,2403,817,1042,1339,1189,9708
SUMATERA SELATAN,16,930,1204,3734,5670,1448,2290,2846,2690,20812
BENGKULU,17,406,526,1445,2015,629,788,1269,1112,8190
LAMPUNG,18,1240,1623,5182,7260,1982,3000,3975,4418,28680
KEPULAUAN BANGKA BELITUNG,19,141,201,530,803,304,375,645,505,3504
KEPULAUAN RIAU,21,216,249,594,748,203,339,266,300,2915
DKI JAKARTA,31,630,865,2422,3456,1096,1573,1364,1139,12545
JAWA BARAT,32,5574,7189,27258,35667,12444,16093,25360,21815,151400
JAWA TENGAH,33,6206,8391,31763,41703,16634,21568,38107,34257,198629
D I YOGYAKARTA,34,891,1194,4201,5180,2403,2802,4560,3732,24963
JAWA TIMUR,35,5510,7397,32177,42737,19048,23635,43064,33407,206975
BANTEN,36,985,1323,4909,6653,1993,3050,3548,3304,25765
BALI,51,698,938,2457,3562,1176,1623,1894,2089,14437
NUSA TENGGARA BARAT,52,1096,1305,3959,5051,1623,2207,3295,2921,21457
NUSA TENGGARA TIMUR,53,2172,2975,5081,6307,2221,3145,3989,4102,29992
KALIMANTAN BARAT,61,741,891,2885,4050,1207,1778,1697,1861,15110
KALIMANTAN TENGAH,62,261,395,985,1420,413,594,699,716,5483
KALIMANTAN SELATAN,63,426,671,2342,3147,1146,1313,2178,1533,12756
KALIMANTAN TIMUR,64,382,560,1424,2110,727,1003,845,1030,8081
SULAWESI UTARA,71,613,789,1724,2446,856,1202,1152,1093,9875
SULAWESI TENGAH,72,749,1041,2106,2985,929,1256,1470,1521,12057
SULAWESI SELATAN,73,1456,2035,5769,7805,3224,3842,6061,4716,34908
SULAWESI TENGGARA,74,592,841,1744,2392,687,1019,1396,1261,9932
GORONTALO,75,288,394,821,1093,426,520,657,565,4764
SULAWESI BARAT,76,354,422,821,1023,358,437,688,575,4678
MALUKU,81,460,641,1120,1502,404,661,615,764,6167
MALUKU UTARA,82,262,376,711,1033,274,492,357,476,3981
PAPUA BARAT,91,111,112,339,450,129,174,110,146,1571
PAPUA,94,134,160,551,698,223,346,155,233,2500
TOTAL, ,38860,52015,167609,225667,82469,108558,163870,142303,981351
