Nama Provinsi,Kode Provinsi,Usia di bawah 45  tahun,Usia  45 - di bawah 60 tahun,Usia di atas 60 tahun,TOTAL
ACEH,11,21220,27821,30682,79723
SUMATERA UTARA,12,32037,54206,59400,145643
SUMATERA BARAT,13,10445,16815,19079,46339
RIAU,14,8825,13076,12170,34071
JAMBI,15,6535,9912,11491,27938
SUMATERA SELATAN,16,12900,18585,18284,49769
BENGKULU,17,3674,4965,6134,14773
LAMPUNG,18,12444,22745,29922,65111
KEPULAUAN BANGKA BELITUNG,19,1532,3027,6003,10562
KEPULAUAN RIAU,21,2093,2982,2882,7957
DKI JAKARTA,31,11055,23759,18357,53171
JAWA BARAT,32,88421,157559,257213,503193
JAWA TENGAH,33,70070,144408,262460,476938
D I YOGYAKARTA,34,5958,14896,37006,57860
JAWA TIMUR,35,95734,214419,390007,700160
BANTEN,36,18232,32671,36163,87066
BALI,51,2375,3204,5044,10623
NUSA TENGGARA BARAT,52,45839,29084,30038,104961
NUSA TENGGARA TIMUR,53,19583,19093,14972,53648
KALIMANTAN BARAT,61,7638,11862,11786,31286
KALIMANTAN TENGAH,62,2300,3928,4709,10937
KALIMANTAN SELATAN,63,8310,14834,20136,43280
KALIMANTAN TIMUR,64,5011,8652,8602,22265
SULAWESI UTARA,71,2479,4471,6162,13112
SULAWESI TENGAH,72,4848,7721,8163,20732
SULAWESI SELATAN,73,20221,33386,43810,97417
SULAWESI TENGGARA,74,7386,8153,8215,23754
GORONTALO,75,1867,3153,3153,8173
SULAWESI BARAT,76,3013,3703,4193,10909
MALUKU,81,2583,4246,3649,10478
MALUKU UTARA,82,1120,2107,1902,5129
PAPUA BARAT,91,3289,4042,2159,9490
PAPUA,94,13918,9774,4204,27896
TOTAL, ,552955,933259,1378150,2864364
