Nama Provinsi,Kode Provinsi,Rumah Tangga Desil 1,Rumah Tangga Desil 2,Rumah Tangga Desil 3,TOTAL_Rumah Tangga,Individu Desil 1,Individu Desil 2,Individu Desil 3,TOTAL_Individu
ACEH,11,156596,115913,115900,388409,801302,494192,445953,1741447
SUMATERA UTARA,12,277907,281786,281765,841458,1554914,1247358,1043129,3845401
SUMATERA BARAT,13,83780,105880,105864,295524,468056,490572,423245,1381873
RIAU,14,76777,90416,90409,257602,418840,399851,351174,1169865
JAMBI,15,52205,66857,66852,185914,262596,267977,238749,769322
SUMATERA SELATAN,16,178146,154071,154062,486279,889743,638750,580271,2108764
BENGKULU,17,54645,38795,38792,132232,258423,153313,140754,552490
LAMPUNG,18,268479,191026,191013,650518,1252585,738592,685860,2677037
KEPULAUAN BANGKA BELITUNG,19,12924,16703,16698,46325,62934,63992,58732,185658
KEPULAUAN RIAU,21,15793,28355,28352,72500,78763,121394,107518,307675
DKI JAKARTA,31,92679,89725,89724,272128,478141,391166,342322,1211629
JAWA BARAT,32,990009,1164607,1164587,3319203,4927835,4458347,3855658,13241840
JAWA TENGAH,33,1115063,997911,997892,3110866,5311175,3710987,3288512,12310674
D I YOGYAKARTA,34,132240,114451,114449,361140,561343,396203,359593,1317139
JAWA TIMUR,35,1230042,1189670,1189652,3609364,5174675,3932347,3527666,12634688
BANTEN,36,136951,246542,246538,630031,763715,1100702,950776,2815193
BALI,51,41232,76681,76675,194588,221560,335381,284289,841230
NUSA TENGGARA BARAT,52,192976,158823,158821,510620,865354,569312,509424,1944090
NUSA TENGGARA TIMUR,53,167119,141275,141278,449672,970482,674262,597008,2241752
KALIMANTAN BARAT,61,71713,93225,93211,258149,399520,415744,365637,1180901
KALIMANTAN TENGAH,62,25774,33300,33292,92366,124666,138922,125123,388711
KALIMANTAN SELATAN,63,40934,70722,70715,182371,202395,268913,222424,693732
KALIMANTAN TIMUR,64,55315,56822,56817,168954,285576,234091,206373,726040
SULAWESI UTARA,71,43936,65130,65124,174190,222173,274438,245930,742541
SULAWESI TENGAH,72,82778,69918,69913,222609,426049,299123,271934,997106
SULAWESI SELATAN,73,160629,189883,189872,540384,828973,820345,762823,2412141
SULAWESI TENGGARA,74,59197,58528,58522,176247,327991,265986,246975,840952
GORONTALO,75,34103,32843,32839,99785,157679,141821,139332,438832
SULAWESI BARAT,76,27300,28291,28290,83881,157320,135113,119936,412369
MALUKU,81,55752,36699,36691,129142,342283,179704,158910,680897
MALUKU UTARA,82,15082,22983,22979,61044,96207,117392,100460,314059
PAPUA BARAT,91,44687,24099,24083,92869,255314,95350,72860,423524
PAPUA,94,220037,113038,113082,446157,1156224,433233,348138,1937595
TOTAL, ,6212800,6164968,6164753,18542521,30304806,24004873,21177488,75487167
