Nama Provinsi,Sumber Terlindung,Sumber Tidak Terlindung
ACEH,201618,144181
SUMATERA UTARA,388257,312712
SUMATERA BARAT,110118,145866
RIAU,72424,161407
JAMBI,43754,115679
SUMATERA SELATAN,162310,249934
BENGKULU,34972,86982
LAMPUNG,298809,320989
KEPULAUAN BANGKA BELITUNG,26692,15070
KEPULAUAN RIAU,23338,21039
DKI JAKARTA,87010,3020
JAWA BARAT,2085243,862674
JAWA TENGAH,2158570,679975
D I YOGYAKARTA,267986,74277
JAWA TIMUR,2567412,665081
BANTEN,326934,225469
BALI,97976,39973
NUSA TENGGARA BARAT,380372,81101
NUSA TENGGARA TIMUR,228667,193119
KALIMANTAN BARAT,31836,220903
KALIMANTAN TENGAH,20609,66714
KALIMANTAN SELATAN,45210,98652
KALIMANTAN TIMUR,33895,83231
SULAWESI UTARA,101673,44946
SULAWESI TENGAH,116927,87606
SULAWESI SELATAN,319852,144985
SULAWESI TENGGARA,103173,54151
GORONTALO,70629,21205
SULAWESI BARAT,39841,40915
MALUKU,84525,34785
MALUKU UTARA,34320,21692
PAPUA BARAT,28453,50625
PAPUA,133027,283971
