No,Lokasi_Bencana,Jenis_Bencana,Korban_jiwa, Taksiran_Kerugian 
1,Kelurahan Pakemitan,Kebakaran,5,50000000
2,Kelurahan Cipaganti,Kebakaran,4,1000000
3,Kelurahan Pasirbiru,Banjir,41, - 
4,Kelurahan Sukamulya,Banjir,466, - 
5,Kelurahan Cisaranten wetan,Banjir,285, - 
6,Kelurahan Pakemitan,Banjir,257, - 
7,Kelurahan Maleber,Kebakaran,3,200000000
8,Kelurahan Cigondewah Kaler,Kebakaran,3,50000000
9,Kelurahan Maleber,Angin topan,0, - 
10,Kelurahan Pasirkaliki,Angin topan,0, - 
11,Kecamatan Cinambo,Angin topan,0, - 
12,Kelurahan Binong,Kebakaran,5,3000000
13,Kelurahan Mekarmulya,Kebakaran,12,50000000
14,Kelurahan Cipadung Kulon,Angin topan,5, - 
15,Kelurahan Panjunan,Tanah Longsor,64, - 
16,Kelurahan Cisaranten Kulon,Kebakaran,5,50000000
17,Kelurahan Merdeka,Kebakaran,4,20000000
18,Kelurahan Babakan Sari,Kebakaran,4,100000000
19,Kelurahan Sukapada,Kebakaran,0,20000000
20,Kelurahan Caringin,Kebakaran,4,150000000
21,Kelurahan Cigondewah Rahayu,Kebakaran,40,230000000
22,Kelurahan Panjunan,Kebakaran,35,650000000
23,Kelurahan Cipamokolan,Kebakaran,10,5000000
24,Kelurahan Karang Anyar,Kebakaran,3,20000000
25,Kelurahan Pasteur,Kebakaran,4, - 
26,Kelurahan Palasari,Banjir,30, - 
27,Kelurahan Sukamulya,Banjir,1453, - 
28,Kelurahan Pasir Endah,Banjir,700, - 
29,Kelurahan Cigending,Banjir,255, - 
30,Kelurahan Mekarwangi,Tanah Longsor,6, - 
31,Kelurahan Cipadung Kulon,Banjir,300, - 
32,Kelurahan Cipadung Kidul,Banjir,780, - 
33,Kelurahan Mekarmulya,Banjir,0, - 
34,Kelurahan Cisaranten Endah,Banjir,1800, - 
35,Kelurahan Cisaranten Binhar,Tanah Longsor,0, - 
36,Kelurahan Cijagra,Banjir,0, - 
37,Kelurahan Sukaraja,Angin topan,0, - 
38,Kelurahan Cicaheum,Banjir,0, - 
39,Kelurahan Cisaranten Kulon,Angin topan,15,225000000
40,Kelurahan Sekejati,Angin topan,0, - 
41,Kelurahan Husen Sastranegara,Kebakaran,4,10000000
42,Kelurahan Turangga,Kebakaran,5,500000000
43,Kelurahan Kujangsari,Kebakaran,4,60000000
44,Kelurahan Sukapura,Kebakaran,5,2000000000
45,Kelurahan Arjuna,Banjir,800, - 
46,Kelurahan Pajajaran,Banjir,900,380000000
47,Kelurahan Sukaluyu,Banjir,120, - 
48,Kelurahan Cipaganti,Tanah Longsor,10,75000000
49,Kelurahan Husen Sastranegara,Kebakaran,0,100000000
50,Kelurahan Cibaduyut,Kebakaran,5,800000000
51,Kelurahan Mekarmulya,Kebakaran,6, - 
52,Kelurahan Pasir Endah,Kebakaran,6,100000000
53,Kelurahan Cipadung,Angin topan,25, - 
54,Kelurahan Gumuruh,Kebakaran,4,50000000
55,Kelurahan Caringin,Kebakaran,5,100000000
56,kelurahan Antapani Kulon,Kebakaran,5,5000000
57,Kelurahan Jatihandap,Kebakaran,6,75000000
58,Kelurahan Arjuna,Tanah Longsor,30, - 
59,Kelurahan Babakan Ciparay,Angin topan,6, - 
60,Kelurahan Pasir Jati,Tanah Longsor,10, - 
61,Kelurahan Cigending,Banjir,450, - 
62,Kelurahan Pasir Wangi,Tanah Longsor,0, - 
63,Kelurahan Sukamulya,Banjir,1453, - 
64,Kelurahan Cisaranten wetan,Banjir,500, - 
65,Kelurahan Cipadung Kulon,Banjir,400, - 
66,Kelurahan Mekarmulya,Banjir,0, - 
67,Kelurahan Kacapiring,Kebakaran,5,1000000
68,Kelurahan Margasari,Kebakaran,5,800000000
69,Kelurahan Dunguscariang,Kebakaran,5,20000000
70,Kelurahan Babakan Ciparay,Kebakaran,3,25000000
71,Kelurahan Pakemitan,kebakaran,4,50000000
72,Kelurahan Margahayu,kebakaran,4,80000000
73,Kelurahan Cipaganti,kebakaran,4,25000000
74,Kelurahan Sukamiskin,kebakaran,5,300000000
75,Kelurahan Cipadung,kebakaran,14, - 
76,Kelurahan Gempolsari,angin topan,2, - 
77,Kelurahan Cigondewah Kaler,kebakaran,0,2500000000
78,Kelurahan Babakan Tarogong,kebakaran,12,300000000
79,Kelurahan Samoja,kebakaran,4,5000000
80,Kelurahan Cipedes,kebakaran,4,50000000
81,Kelurahan Sadangserang,Kebakaran,35,100000000
82,Kelurahan Bina harapan,Kebakaran,3,6000000
83,Kelurahan Pasirwangi,Tanah Longsor,8, - 
84,Kelurahan Sukaluyu,Kebakaran,3,4000000
85,Kelurahan Cirangrang,Kebakaran,8,150000000
86,Kelurahan Batunggal,Kebakaran,0,30000000
87,Kelurahan Samoja,Kebakaran,4,500
88,Kelurahan Balonggede,Kebakaran,0,150000000
89,Kelurahan Sadangserang,Kebakaran,25,100000000
90,Kelurahan Cipadung Kulon,Kebakaran,0,1300000000
91,Kelurahan Bina harapan,Kebakaran,5,100000000
92,Kelurahan Kebon Gedang,Kebakaran,10,150000000
93,Kelurahan Kebonwaru,Kebakaran,6,200000000
94,Kelurahan Babakan Surabaya,Kebakaran,0,150000000
95,Kelurahan Husen Sastranagara,Kebakaran,0,5000000
96,Kelurahan Ciroyom,Kebakaran,4,300000000
97,Kelurahan Ciumbuleuit,Kebakaran,4,25000000
98,Kelurahan Sarijadi,Kebakaran,4,50000000
99,Kelurahan Cibangkong,Kebakaran,4,25000000
100,Kelurahan Pasirlayung,Kebakaran,4,5000000
101,Kelurahan Kebongedang,Kebakaran,11,101000000
102,Kelurahan Cigending,Kebakaran,4,4000000
103,Kelurahan Babakan Ciparay,Kebakaran,3,100000000
104,Kelurahan Cihapit,Kebakaran,0,5000000
105,Kelurahan Babakan Ciamis,Kebakaran,5,50000000
106,Kelurahan Jamika,Kebakaran,4,250000000
107,Kelurahan Pelindung Hewan,Kebakaran,3,5000000
108,Kelurahan Sekejati,Kebakaran,0,30000000
109,Kelurahan Cipaganti,Kebakaran,5,800000000
110,Kelurahan Cicendo,Kebakaran,0,5000000
111,Kelurahan Cipadung Kidul,Kebakaran,0,500000000
112,Kelurahan Cigereleng,Kebakaran,5,60000000
113,Kelurahan Balonggede,Kebakaran,0,30000000
114,Kelurahan Sekeloa,Kebakaran,6,40000000
115,Kelurahan Babakan Siliwangi,Kebakaran,0,100000000
116,Kelurahan Kebon jeruk,Kebakaran,4,10000000
117,Kelurahan Manjahlega,Kebakaran,5,7000000
118,Kelurahan Derwati,Kebakaran,6, - 
119,Kelurahan Cibuntu,Kebakaran,4,1000000000
120,Kelurahan Cisaranten Endah,Kebakaran,0, - 
121,Kelurahan Sukamiskin,Kebakaran,0, - 
122,Kelurahan Cisaranten Kidul,Kebakaran,8,30000000
123,Kelurahan Margasuka,Kebakaran,0, - 
124,Kelurahan Babakan,Kebakaran,5,500000000
125,Kelurahan Cirangrang,Kebakaran,5,750000000
126,Kelurahan Merdeka,Kebakaran,0,1000000
127,Kelurahan Cisurupan,Kebakaran,5,30000000
128,Kelurahan Cipadung,Angin Topan,906,700000000
129,Kelurahan Babakansari,Kebakaran,50,800000000
130,Kelurahan Kacapiring,Kebakaran,1, - 
131,Kelurahan Kebonwaru,Kebakaran,2,50000000
132,Kelurahan Cigending,Kebakaran,30,400000000
133,Kelurahan Cijaura,Kebakaran,4,30000000
134,Kelurahan Cibaduyut Wetan,Kebakaran,32, - 
135,Kelurahan Sukapada,Kebakaran,4,40000000
136,Kelurahan Cikutra,Kebakaran,0,300000000
137,Kelurahan cikutra,Tanah Longsor,4,17000000
138,Kelurahan Cempaka,Kebakaran,0,4000000000
139,Kelurahan Braga,Kebakaran,0,30000000
140,Kelurahan Kacapiring,Kebakaran,10,552000000
141,Kelurahan Babakan,Kebakaran,0,1000000
142,Kelurahan Babakan Ciparay,Kebakaran,0,3000000000
143,Kelurahan Babakan Surabaya,Kebakaran,4,50000000
144,Kelurahan Rancabolang,Kebakaran,20,200000000
145,Kelurahan Cisaranten Kidul,Kebakaran,5,25000000
146,Kelurahan Burangrang,Kebakaran,112,1000000000
147,Kelurahan Karasak,Kebakaran,0, - 
148,Kelurahan Mekarwangi,Kebakaran,0,25000000
149,Kelurahan Kujangsari,Kebakaran,0,500
150,Kelurahan Husen Sastranagara,Kebakaran,4,20000000
151,Kelurahan Pelindung Hewan,Kebakaran,6,30000000
152,Kelurahan Sukamiskin,Kebakaran,4,6000000
153,Kelurahan Ciateul,Kebakaran,0,50000000
154,Kelurahan Cisaranten Endah,Kebakaran,5,60000000
155,Kelurahan Ciateul,Kebakaran,0,50000000
156,Kelurahan Sukamiskin,Kebakaran,0, - 
157,Kelurahan Sadangserang,Kebakaran,0,100000000
158,Kelurahan Cisaranten Kidul,Kebakaran,5,25000000
159,Kelurahan Cipadung Kidul,Kebakaran,0,10000000
160,Kelurahan Mekarmulya,Kebakaran,0, - 
161,Kelurahan Turangga,Kebakaran,5,15000000
162,Kelurahan Antapani Tengah,Kebakaran,0,500
163,Kelurahan Kebon Pisang,Kebakaran,5,1000000
164,Kelurahan Pasteur,Kebakaran,5,74000000
165,Kelurahan Manjahlega,Kebakaran,5,100000000
166,Kelurahan Cipaganti,Kebakaran,0,150000000
167,Kelurahan Pelindung Hewan,Kebakaran,5,100000000
168,Kelurahan Sukahaji,Kebakaran,20,350000000
169,Kelurahan Sukamulya,Banjir,1870, - 
170,Kelurahan Babakan Penghulu,Banjir,2010, - 
171,Kelurahan Pakemitan,Banjir,445, - 
172,Kelurahan Cisaranten Wetan,Angin Topan,181, - 
173,Kelurahan Cipadung Kulon,Angin Topan,2548, - 
174,Kelurahan Cipadung,Angin Topan,1155, - 
175,Kelurahan Cisaranten Kulon,Angin Topan,650, - 
