Nama Provinsi,Kode Provinsi,Air Kemasan,Air Ledeng,Sumber Terlindung,Sumber Tidak Terlindung
ACEH,11,21566,21044,201618,144181
SUMATERA UTARA,12,47079,93410,388257,312712
SUMATERA BARAT,13,13343,26197,110118,145866
RIAU,14,22601,1170,72424,161407
JAMBI,15,7498,18983,43754,115679
SUMATERA SELATAN,16,21329,52706,162310,249934
BENGKULU,17,2713,7565,34972,86982
LAMPUNG,18,14039,16681,298809,320989
KEPULAUAN BANGKA BELITUNG,19,4036,527,26692,15070
KEPULAUAN RIAU,21,19812,8311,23338,21039
DKI JAKARTA,31,80993,101105,87010,3020
JAWA BARAT,32,178455,192831,2085243,862674
JAWA TENGAH,33,29737,242584,2158570,679975
D I YOGYAKARTA,34,590,18287,267986,74277
JAWA TIMUR,35,97255,279616,2567412,665081
BANTEN,36,42818,34810,326934,225469
BALI,51,9352,47287,97976,39973
NUSA TENGGARA BARAT,52,2573,46574,380372,81101
NUSA TENGGARA TIMUR,53,588,27298,228667,193119
KALIMANTAN BARAT,61,864,4546,31836,220903
KALIMANTAN TENGAH,62,977,4066,20609,66714
KALIMANTAN SELATAN,63,1046,37463,45210,98652
KALIMANTAN TIMUR,64,19599,32229,33895,83231
SULAWESI UTARA,71,7810,19761,101673,44946
SULAWESI TENGAH,72,2184,15892,116927,87606
SULAWESI SELATAN,73,8173,67374,319852,144985
SULAWESI TENGGARA,74,692,18231,103173,54151
GORONTALO,75,777,7174,70629,21205
SULAWESI BARAT,76,277,2848,39841,40915
MALUKU,81,264,9568,84525,34785
MALUKU UTARA,82,140,4892,34320,21692
PAPUA BARAT,91,5719,8063,28453,50625
PAPUA,94,11864,17295,133027,283971
TOTAL, ,676763,1486388,10726432,5652929
,,,,,
